Date,Week,Opponent,Map,Player,OpKills,OpPulls,FootageMin,OpKillsPerMin,OpKillsPerPull
2026-07-23,5,Wolves,Arsenal,Prevail,4,4,11.83,0.338,1.000
2026-07-23,5,Wolves,Arsenal,Viper,5,3,11.83,0.423,1.667
2026-07-23,5,Wolves,Arsenal,Abhiz,4,4,11.83,0.338,1.000
2026-07-23,5,Wolves,Arsenal,Warden,2,5,11.83,0.169,0.400
2026-07-23,5,Wolves,Arsenal,Skullguy,9,4,11.83,0.761,2.250
2026-07-23,5,Wolves,Standoff,Prevail,0,3,9.47,0.000,0.000
2026-07-23,5,Wolves,Standoff,Viper,1,1,9.47,0.106,1.000
2026-07-23,5,Wolves,Standoff,Abhiz,1,2,9.47,0.106,0.500
2026-07-23,5,Wolves,Standoff,Warden,1,3,9.47,0.106,0.333
2026-07-23,5,Wolves,Standoff,Skullguy,1,2,9.47,0.106,0.500
2026-07-18,4,Q9,Hacienda,Prevail,2,4,12.00,0.167,0.500
2026-07-18,4,Q9,Hacienda,Viper,7,4,12.00,0.583,1.750
2026-07-18,4,Q9,Hacienda,Abhiz,4,4,12.00,0.333,1.000
2026-07-18,4,Q9,Hacienda,Warden,6,7,12.00,0.500,0.857
2026-07-18,4,Q9,Hacienda,Skullguy,6,4,12.00,0.500,1.500
2026-07-18,4,Q9,Raid,Prevail,7,3,15.57,0.450,2.333
2026-07-18,4,Q9,Raid,Viper,1,3,15.57,0.064,0.333
2026-07-18,4,Q9,Raid,Abhiz,0,3,15.57,0.000,0.000
2026-07-18,4,Q9,Raid,Warden,3,3,15.57,0.193,1.000
2026-07-18,4,Q9,Raid,Skullguy,3,3,15.57,0.193,1.000
2026-07-24,5,ELV,Summit,Prevail,4,3,12.82,0.312,1.333
2026-07-24,5,ELV,Summit,Viper,5,4,12.82,0.390,1.250
2026-07-24,5,ELV,Summit,Abhiz,10,5,12.82,0.780,2.000
2026-07-24,5,ELV,Summit,Warden,8,5,12.82,0.624,1.600
